county,station,month,avg_month_temp,avg_month_dewpt,avg_month_vappr,avg_month_msl
Carlow,OAK PARK,1,6.926370202891271,5.597685446098832,9.288823983484301,1003.4442110258957
Carlow,OAK PARK,2,6.6854348967769255,5.294956258397954,9.089294891166,1002.5484806989433
Carlow,OAK PARK,3,7.037451738170083,5.370270274912397,9.130612252235938,1002.4536126079444
Carlow,OAK PARK,4,8.506573707172041,6.626826035534124,9.896879164821124,1005.5210486990838
Carlow,OAK PARK,5,10.398837127891149,8.336266209632406,11.155948333940565,1008.6265858006517
Carlow,OAK PARK,6,12.53836740007495,10.74058064788875,13.120530977402582,1008.6961674076496
Carlow,OAK PARK,7,14.27246448787884,12.666348710734916,14.899288327009343,1008.9347726997738
Carlow,OAK PARK,8,13.943891135196479,12.178272007041919,14.516130190305972,1008.6943879866612
Carlow,OAK PARK,9,12.408071688485338,10.581653695262364,13.140441236310748,1009.4522253169317
Carlow,OAK PARK,10,11.422460384055304,10.129892210295395,12.622504144684592,1003.8303083448268
Carlow,OAK PARK,11,9.014122741909308,7.645157246890095,10.697449333623076,1003.2301001475657
Carlow,OAK PARK,12,7.6222292627530335,6.303181656480251,9.780877314547642,1004.7637901696843
Cavan,BALLYHAISE,1,6.2790493996663415,5.053651762931629,8.955361247619136,1002.5349890553117
Cavan,BALLYHAISE,2,5.993336397887426,4.6670955833807755,8.696323536665124,1001.1581346287447
Cavan,BALLYHAISE,3,6.222987962714391,4.661051809461114,8.695334302809405,1002.3510346703234
Cavan,BALLYHAISE,4,7.802877284188307,5.881285724521593,9.410909432631273,1005.7138578333157
Cavan,BALLYHAISE,5,10.08531662636625,8.13734691988729,10.97994711427746,1007.9786107554464
Cavan,BALLYHAISE,6,12.526838541030884,10.855253192921701,13.1382348711668,1007.8633678001821
Cavan,BALLYHAISE,7,14.165496447422449,12.560998374658565,14.666758105706462,1007.3602310322957
Cavan,BALLYHAISE,8,14.365351656004309,12.88003432768345,14.977789231457026,1007.5961302807605
Cavan,BALLYHAISE,9,12.72732803885404,11.405364748869326,13.658092228931698,1007.1986716964832
Cavan,BALLYHAISE,10,10.774044542343962,9.626320422428435,12.18836254873898,1004.3765084360451
Cavan,BALLYHAISE,11,7.999327664027026,6.851981087341414,10.127292360439867,1002.1833424915002
Cavan,BALLYHAISE,12,6.680734769515371,5.584143347764527,9.29844763443286,1002.9466774657498
Clare,SHANNON AIRPORT,1,7.1397572402304075,5.380130720444643,9.144351085872989,1003.0293742545847
Clare,SHANNON AIRPORT,2,6.963911727821992,5.1111207294343535,8.961358723522832,1002.7126780319709
Clare,SHANNON AIRPORT,3,7.553083040620455,5.711362507809296,9.350124318406452,1005.2171059356644
Clare,SHANNON AIRPORT,4,8.713221607927503,6.508659223218296,9.842675361331393,1005.1409372795006
Clare,SHANNON AIRPORT,5,10.975854500441313,8.991658829080158,11.619504540270867,1007.5374407141737
Clare,SHANNON AIRPORT,6,13.223835800548553,11.415695070685826,13.61241808115264,1008.703897655812
Clare,SHANNON AIRPORT,7,15.008747272139898,13.321149645206221,15.422555460776437,1009.3170875709006
Clare,SHANNON AIRPORT,8,15.113640278466313,13.442215837574691,15.542388492007907,1009.1378708127248
Clare,SHANNON AIRPORT,9,13.64263141977501,11.949772104598294,14.148192040864474,1007.2942269347569
Clare,SHANNON AIRPORT,10,11.451229896315338,9.751608329321995,12.282213813985646,1003.3016080396178
Clare,SHANNON AIRPORT,11,9.033577946482765,7.4825664444123525,10.5497421681148,1003.5686629891916
Clare,SHANNON AIRPORT,12,7.593144864727745,5.899260904177396,9.473244645290698,1002.9044714093825
Cork,CORK AIRPORT,1,7.2000181735899345,6.4410428757560005,9.84460005675291,1004.6081213951111
Cork,ROCHES POINT,1,7.3778512717923626,6.284240549596581,9.835871376792996,1005.8418447836451
Cork,SherkinIsland,1,8.48218319279935,6.780708907174421,10.053732754594858,1005.658907767072
Cork,MOORE PARK,1,7.3848891831819365,6.092175962912548,9.613196782892865,1004.6418063520505
Cork,CORK AIRPORT,2,6.807827408797878,5.90266696253835,9.478425834350553,1004.490806334761
Cork,SherkinIsland,2,7.96064461229576,6.179898220439069,9.641348607161977,1003.9079770516096
Cork,ROCHES POINT,2,7.2848468126283485,5.996413351638479,9.526272601072849,1005.0174454681409
